dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,1,14,0.9333333333333333,0.7473868727684021
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,1,14,0.9333333333333333,29.251192092895508
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,1,14,0.9333333333333333,42.053382009971116
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,1,14,0.9333333333333333,0.6410599946975708
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,2,13,0.8666666666666667,21.064218521118164
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,2,13,0.8666666666666667,31.382799858411694
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,2,13,0.8666666666666667,0.7332990169525146
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,2,13,0.8666666666666667,28.286771774291992
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,2,13,0.8666666666666667,41.56785092434717
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,2,13,0.8666666666666667,0.6493004560470581
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,3,12,0.8,21.43408966064453
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,3,12,0.8,31.415163147530166
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,3,12,0.8,0.7327486872673035
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,3,12,0.8,29.055824279785156
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,3,12,0.8,41.5780354541501
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,3,12,0.8,0.6491286158561707
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,4,11,0.7333333333333333,21.621828079223633
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,4,11,0.7333333333333333,31.795347974696412
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,4,11,0.7333333333333333,0.7262409925460815
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,4,11,0.7333333333333333,28.995361328125
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,4,11,0.7333333333333333,41.352713030706944
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,4,11,0.7333333333333333,0.6529212594032288
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,5,10,0.6666666666666666,21.57000732421875
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,5,10,0.6666666666666666,31.548646209254667
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,5,10,0.6666666666666666,0.7304727435112
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,5,10,0.6666666666666666,29.286739349365234
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,5,10,0.6666666666666666,41.85412259413641
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,5,10,0.6666666666666666,0.6444534063339233
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,6,9,0.6,21.412187576293945
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,6,9,0.6,32.12727033259187
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,6,9,0.6,0.7204954624176025
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,6,9,0.6,28.234960556030273
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,6,9,0.6,41.061698824470994
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,6,9,0.6,0.6577891111373901
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,7,8,0.5333333333333333,22.71633529663086
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,7,8,0.5333333333333333,32.39800137607353
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,7,8,0.5333333333333333,0.7157648801803589
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,7,8,0.5333333333333333,30.812162399291992
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,7,8,0.5333333333333333,42.96912357792148
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,7,8,0.5333333333333333,0.6252574920654297
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,8,7,0.4666666666666667,23.012126922607422
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,8,7,0.4666666666666667,32.799627311263954
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,8,7,0.4666666666666667,0.7086741328239441
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,8,7,0.4666666666666667,31.590576171875
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,8,7,0.4666666666666667,43.596068486733984
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,8,7,0.4666666666666667,0.6142422556877136
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,9,6,0.4,22.768863677978516
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,9,6,0.4,33.24653228804002
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,9,6,0.4,0.700681209564209
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,9,6,0.4,30.020484924316406
FD001,W30_step1,h10,sensors,timetrust,val,rmse,15,9,6,0.4,42.439105041444385
FD001,W30_step1,h10,sensors,timetrust,val,r2,15,9,6,0.4,0.6344452500343323
FD001,W30_step1,h10,sensors,timetrust,train,mae,15,10,5,0.3333333333333333,23.009946823120117
FD001,W30_step1,h10,sensors,timetrust,train,rmse,15,10,5,0.3333333333333333,33.314311996333686
FD001,W30_step1,h10,sensors,timetrust,train,r2,15,10,5,0.3333333333333333,0.6994595527648926
FD001,W30_step1,h10,sensors,timetrust,val,mae,15,10,5,0.3333333333333333,30.447063446044922
